tool_id, pearson_correlation, nr_samples 
sklearn_svm_classifier/1.0.0.4, 1.0, 2 
sed_stream_editor/0.0.1, 0.9996872778350095, 123 
bedtools_jaccard/2.29.2, 0.9996742662873289, 68 
ucsc-twobittofa/357, 0.9992445816203359, 51 
tp_find_and_replace/1.1.2, 0.9980057254361132, 233 
graphmap_overlap/0.5.2, 0.9966638682903853, 39 
vcffixup/1.0.0_rc3, 0.995596561296554, 101 
Sff_extractor, 0.9923741368814397, 73 
regex1/1.0.0, 0.9914574402002899, 1399 
genbank_to_gff, 0.989323717961207, 493 
busco/5.3.1, 0.9832074688545304, 47 
scanpy_read_10x/1.4.3, 0.9825599710773422, 157 
TargetedFileConverter, 0.9810805131542543, 33 
tximport/1.22.0, 0.9802523392059399, 64 
regexColumn1/1.0.0, 0.9792078893893025, 1631 
bedtools_unionbedgraph/2.29.0, 0.9785506003455703, 95 
trinity_filter_low_expr_transcripts/2.9.1, 0.9771744824086405, 132 
replace_chromosome_names/0.1, 0.9766277148797678, 83 
hicexplorer_hicfindrestrictionsites/3.4.3.0, 0.9763561260131127, 48 
ip_projective_transformation_points/0.0.3, 0.9738954087350657, 535 
scater_create_qcmetric_ready_sce/1.12.2, 0.9708297986781397, 94 
fasplit/377, 0.9705056001408355, 69 
ip_scale_image/0.2, 0.9682395262687994, 85 
CONVERTER_bed_to_bgzip_0, 0.9681652477246682, 514 
dropletutils_read_10x/1.0.3, 0.968108311858927, 82 
ggplot2_heatmap2/3.1.1, 0.9655831416696518, 93 
iedb_api/2.15.0, 0.9652425805039291, 71 
MSGFPlusAdapter/2.2.0, 0.9609483730007341, 37 
dada2_mergePairs/1.14, 0.9606844060738724, 811 
fastq_filter/1.1.1, 0.9596256514406974, 789 
rseqc_junction_saturation/2.6.4.1, 0.9583834191627165, 72 
Batch_correction/2.1.2, 0.9578147081098332, 102 
homer_gtf_to_annotations/4.11, 0.9564712813139901, 46 
thermo_raw_file_converter/1.3.4, 0.954148204826663, 753 
qiime_make_phylogeny/1.9.1.0, 0.9496166561882068, 198 
cutadapt/1.6, 0.9490804024048696, 70 
humann2_strain_profiler/0.11.1.0, 0.9454556312327029, 31 
fastq_to_fasta_python/1.1.1, 0.9449054333359852, 4643 
CONVERTER_fasta_to_2bit, 0.9429811864018678, 275 
tximport/0.1, 0.9401668818044262, 168 
raven/1.7.0, 0.9344496711031042, 873 
bamhash/1.1, 0.9339426976763703, 93 
rseqc_junction_annotation/2.6.4.1, 0.9259358490391804, 114 
je_clip/1.2.1, 0.9250513307674132, 1324 
tb_profiler_profile/2.8.4, 0.9250394917503986, 1167 
fastq_quality_trimmer/1.1.1, 0.9235021592425582, 90 
gmx_npt/2019.1, 0.9233967920029506, 189 
bam_to_sam/2.0.1, 0.9224567436634773, 878 
anndata_import/0.6.22.post1, 0.919988043589343, 475 
bedtools_maskfastabed/2.30.0, 0.9182713689495697, 430 
macs2_bdgcmp/2.1.1.20160309.0, 0.911944390012875, 543 
trinity_abundance_estimates_to_matrix/2.9.1, 0.9094479808138778, 437 
vcfbedintersect/1.0.0_rc1, 0.9078193814730919, 197 
bio3d_dccm/2.3.4, 0.8984039079546545, 182 
tab2fasta/1.1.0, 0.8970389446630165, 4912 
rseqc_insertion_profile/2.6.4, 0.8908040377958876, 56 
ggplot2_point/2.2.1, 0.8900271670476757, 4407 
bedtools_bedtoigv/2.29.2, 0.8871862956503086, 55 
gstf_preparation/0.4.1, 0.8832832412617875, 299 
repeatmasker_wrapper/4.0.9, 0.8826501578227464, 55 
chipseeker/1.18.0, 0.8804864902350282, 3210 
histogram_rpy/1.0.4, 0.8783336546925194, 1153 
Extract genomic DNA 1/3.0.3, 0.8703340799688316, 4467 
bedtools_genomecoveragebed/2.29.0, 0.8686628033048536, 2693 
blastxml_to_gapped_gff3/1.1, 0.8637163645421895, 53 
tp_sorted_uniq/1.1.0, 0.8611648115283239, 4603 
dexseq/1.28.1, 0.8609570542352879, 309 
chipseeker/1.28.3, 0.8605187080264678, 802 
bedtools_bamtobed/2.29.0, 0.8588940329684998, 882 
tp_sort_header_tool/1.1.1, 0.8529663749918617, 19933 
CONVERTER_gff_to_interval_index_0, 0.8512384458449719, 380 
anndata_manipulate/0.7.5, 0.8484889030822753, 1497 
fastp/0.19.5, 0.8444097457840102, 27784 
bedtools_bamtobed/2.29.2, 0.8422597162653621, 1199 
vcfbedintersect/1.0.0_rc3, 0.8378458628605306, 370 
cshl_fastq_quality_filter/1.0.2, 0.8329912684516881, 5050 
cshl_fastx_quality_statistics/1.0.1, 0.8318481979947724, 281 
scanpy_find_cluster/1.6.0, 0.8296489415912368, 108 
random_lines1, 0.8234316954725779, 2316 
FileFilter/2.3.0, 0.8158938961071395, 63 
bg_uniq/0.3, 0.8149459710298276, 3146 
velvetoptimiser/2.2.6, 0.813277838208086, 640 
fastani/1.3, 0.8062813914794597, 970 
bandage_info/0.8.1, 0.80374712811259, 1100 
anndata_inspect/0.6.22.post1, 0.8023141220167982, 2524 
kallisto_quant/0.43.1.3, 0.794408866674381, 310 
scanpy_run_pca/1.4.3, 0.7938842257647598, 97 
busco/5.3.2, 0.7934623812814758, 183 
gene2exon1, 0.791033724984774, 298 
CONVERTER_fasta_to_fai, 0.7901211732112976, 1207 
seq_filter_by_id/0.2.7, 0.7871474273731737, 4513 
minfi_getbeta/1.28.0, 0.7864285501620294, 55 
crossmap_bed/0.3.7, 0.7858545780024054, 209 
bedtools_coveragebed/2.29.2, 0.7839294950414082, 72 
jcvi_gff_stats/0.8.4, 0.7785498103018527, 533 
scanpy_filter/1.4.4.post1, 0.7748999667158492, 928 
cutadapt/4.0, 0.7725128697980203, 1901 
query_tabular/3.3.0, 0.7702965996480343, 125 
fasplit/357, 0.77007975635121, 783 
gubbins/0.1.0, 0.7663085625985364, 369 
bio3d_rmsf/2.3.4, 0.7659652546478566, 641 
Paste1, 0.7629729885131583, 8034 
ivar_variants/1.2, 0.7623623061382677, 1243 
mlst/2.16.1, 0.7621459319339786, 1042 
bio3d_rmsd/2.3.4, 0.7615369007407466, 1219 
directory_uri, 0.7534348521983707, 3115 
bedtools_sortbed/2.30.0, 0.7505673432906175, 1511 
w4mclassfilter/0.98.18, 0.74630763174113, 992 
taxonomy_krona_chart/2.7.1, 0.7422791018524147, 3460 
dada2_learnErrors/1.14, 0.7412470027658039, 281 
fastq_trimmer/1.1.5, 0.7323555073465896, 2481 
bedtools_sortbed/2.29.0, 0.7316925187290264, 680 
RNAlien/1.3.6, 0.7264808597416922, 9 
hicexplorer_hicplotdistvscounts/3.6, 0.72369359998287, 19 
dropletutils/1.2.1+5, 0.7214337098544841, 577 
snippy/4.4.5, 0.707310564405404, 490 
fastqc/0.71, 0.7051880486361055, 1481 
mummer_mummer/4.0.0beta2, 0.6988537755345273, 1210 
