tool_id,avg_memory_in_gb,nr_samples
vardict_java/1.8.1,620.574154752,2
spades_biosyntheticspades/3.15.4,545.91350784,1
trinity/2.8.3,368.8665142613333,3
trinity/2.9.1,294.0259094324308,2393
vardict_java/1.8.3,227.124942848,2
trinity/2.4.0.0,197.80240588799998,3
trinity/2.2.0.0,189.082533888,2
vardict_java/1.7.0,146.83673551238093,21
hifiasm/0.15.3,132.07745194666668,3
spades_biosyntheticspades/3.15.3,129.78154222933338,6
t_coffee/11.0.8_1,116.70255865208169,784
trinity/2.8.5,110.22230538778939,152
cuffquant/2.2.1.0,107.376508928,1
trinity/2.1.1.1,102.809473024,1
rnaspades/3.9.0,101.15276419657143,14
bowtie2/0.6,100.534673408,1
bowtie2/2.2.6,100.534673408,1
rnaspades/3.15.3,97.65420061257143,7
spades_metaplasmidspades/3.15.4,95.11205442258823,17
hicexplorer_hicsummatrices/3.4.2.0,91.11775436799999,2
trinity/2.0.6,90.436605952,6
hifiasm/0.15.4,90.39193353934327,67
cardinal_quality_report/2.6.0.0,88.49731001457782,45
metaspades/3.9.0,84.0245149132866,771
rna_starsolo/2.7.5b,79.11936384393849,130
hifiasm/0.16.1,77.25403001336984,146
hicexplorer_hicplotmatrix/1.8.1.1,73.54538311680001,5
t_coffee/11.0.8,72.99321642085845,764
cesm/2.1.3,71.820466176,8
flye/2.3.5,70.261141504,1
rna_starsolo/2.7.2b,67.63818377846154,13
pyprophet_score/2.1.4.2,66.47140128749545,222
hifiasm/0.14,63.79161752409302,86
deeptools_bamCorrelate/1.5.11.0,63.53009664,2
bowtie2/0.2,61.80418406400002,16
rna_starsolo/2.7.6a,61.11054624148838,129
rna_star/2.7.5b,60.35553231341267,13801
humann/3.0.0,60.226764099080185,187
cat_contigs/5.0.3.1,60.12079451477336,600
tophat2/0.9,59.742941184,1
canu/1.8,59.18576320427433,1647
trinity/2.6.6,58.46394265599998,12
hicexplorer_hictransform/2.1.2.0,57.518825472,3
rna_starsolo/2.7.7a,57.04137225309089,77
rna_star/2.7.2b,56.726401072408315,60329
rna_star/2.6.0b-2,56.24244668184426,1362
rna_starsolo/2.7.2a1,55.997395968000006,4
metaspades/3.15.4,55.84513327407408,27
alphafold/2.0.0,55.6584129629091,33
hicexplorer_hicbuildmatrix/3.4.3.0,55.55359859148593,498
cardinal_quality_report/2.4.0.1,55.42597223656439,326
FileMerger/2.2.0,55.37968128,1
hicexplorer_chicqualitycontrol/3.4.3.0,55.317716619636364,11
pyprophet_score/2.1.4.0,54.68802965807405,54
bwtool-lift,54.675074280106664,150
bg_diamond/0.1.6.0,54.295826714482764,29
hicexplorer_hicbuildmatrix/3.6,53.8551041607175,223
rna_starsolo/2.7.2b1,53.85187226514285,448
ncbi_tblastn_wrapper/0.1.01,53.688291328,2
nanocompore_sampcomp/1.0.0rc3.post2,53.59593738652352,149
chira_map/1.3.5,53.594431728941174,34
chira_map/1.3.7,52.56768336457146,28
spades/3.11.1,52.534768639999996,4
trinity/2.8.4,52.142226813490176,204
rna_star/2.7.6a,51.06552682911868,6264
cardinal_preprocessing/2.4.0.1,50.133738399396236,53
rna_star/2.5.2b-0,49.854478812931504,73
ncbi_makeblastdb/0.3.0,49.815425024,1
peptide_shaker/1.16.36.2,49.64042783059718,211
ncbi_blastn_wrapper/0.2.01,49.59707999372547,102
rna_star/2.7.2a,48.05897338879999,190
abyss-pe/2.3.4,47.564062999272736,44
spades_rnaviralspades/3.15.3,46.93729006933333,3
bwameth/0.2.0.4,46.884179105684204,19
cardinal_segmentations/2.6.0.0,46.347669503999995,75
rna_starsolo/2.7.8a,46.13615684266658,1128
dexseq_count/1.20.1,45.563664384,2
chira_map/1.4.0,44.980663182222216,9
rna_star/2.7.8a,44.972698687296784,58321
meryl/1.3,44.26536547438014,968
deeptools_compute_matrix/3.0.1.0,43.01369908965516,29
rna_star/2.5.2b-2,42.80893166933334,402
tgsgapcloser/1.0.3,41.829969637517245,29
rna_star/2.5.2b-1,41.81265233804708,977
spades/3.15.3,41.628846638545454,33
rna_star/2.7.7a,41.51015321127458,7151
peptide_shaker/1.16.36.3,41.178528263245255,1696
idr_download_by_ids/0.43,41.052831158857146,7
hicexplorer_chicqualitycontrol/3.6,40.65447936,1
chira_map/1.4.3,40.30689512131631,547
chira_merge/1.4.0,39.349648384,12
cat_bins/5.0.3.0,39.20114557672728,33
rnaspades/3.9.0.3,38.743334456888896,9
mothur_seq_error/1.36.1.0,38.55870225066666,3
cardinal_preprocessing/2.6.0.1,38.26867910614765,149
cat_bins/5.0.3.1,38.18115794955193,183
tombo_resquiggle,37.59807558892309,364
macs2_callpeak/2.1.0.20140616.0,37.521938432,8
