tool_id,pearson_correlation,nr_samples
lofreq_viterbi/2.1.3.1,0.9711524940329032,30982
lofreq_indelqual/2.1.4,0.9537961874951272,20448
fastqc/0.72,0.891734110037783,333952
ivar_trim/1.2.2,0.8588861890329228,130058
tp_sort_header_tool/1.1.1,0.8529663749918617,19933
fastp/0.19.5,0.8444097457840102,27784
bamleftalign/1.3.1,0.7425416742388415,27195
comp1,0.7377771251583021,12854
ivar_removereads/1.2.2,0.724312479328138,112388
fasttree/2.1.10,0.7062886289942637,13635
tp_grep_tool/1.1.1,0.6985424326933626,59300
fastqc/0.73,0.6686408134721632,135405
CONVERTER_interval_to_bed_0,0.6404588747281832,49082
filter_tabular/2.0.0,0.6381147333854204,13835
prepare_receptor/1.5.7,0.6328523446978248,14712
cutadapt/3.5,0.6110743995408918,22801
CONVERTER_fastq_to_fqtoc0,0.5990468933213087,10744
Remove beginning1,0.5810273559008448,39330
Grouping1,0.5686189152379051,127646
umi_tools_extract/0.5.5.1,0.5592942449593556,10500
porechop/0.2.4,0.5449664483450573,17244
sucos_docking_scoring/2020.03.4,0.5385984505557195,35648
cutadapt/3.4,0.5184504673579458,19412
cutadapt/1.16.5,0.5167111464967471,33504
mimodd_reheader/0.1.8_1,0.5126759811770919,270381
bamFilter/2.4.1,0.489739073799488,27690
Grep1,0.4879524691566141,48087
ivar_trim/1.3.1,0.4833153060836642,330256
abricate/1.0.1,0.4736282181728423,85231
nanoplot/1.28.2,0.4668882169218842,17814
htseq_count/0.9.1,0.4663449558084273,51516
trim_galore/0.6.7,0.4564767121564599,13448
trimmomatic/0.36.5,0.4545885068293117,38750
trim_galore/0.4.3.1,0.4433717711595886,56525
CONVERTER_vcf_to_vcf_bgzip_0,0.4415973269147409,75250
fastp/0.23.2,0.4250373558221502,18573
cat1,0.4192591285281341,48174
blast_reciprocal_best_hits/0.1.11,0.4173531743814523,11721
fastq_to_fasta_python/1.1.5,0.415249053325857,44090
medaka_consensus/1.0.3,0.411786704272449,21103
samtools_stats/2.0.2,0.3986941701740894,486830
fastq_groomer/1.1.5,0.3909821332414822,41791
abricate/0.9.8,0.3902532675076139,17625
lofreq_indelqual/2.1.5,0.3837508702257696,572048
tp_cat/0.1.1,0.3770778228680974,14481
tp_cut_tool/1.1.0,0.3659177824206236,16100
sucos_max_score/0.2.2,0.3626860540904515,11907
CONVERTER_gz_to_uncompressed,0.3603188528223434,155394
Filter1,0.3582530629541774,379729
bedtools_intersectbed/2.30.0,0.357107371671024,17067
macs2_callpeak/2.1.1.20160309.6,0.3429969211144366,22686
samtools_fastx/1.9,0.339138658378829,25407
hisat2/2.2.1,0.3382929838894413,31496
fastp/0.20.1,0.3324266088465191,653550
rna_star/2.7.8a,0.3307510542899244,58321
collapse_dataset/4.2,0.3220467877570445,12483
salmon/0.14.1.2,0.3208837702447268,10074
samtools_rmdup/2.0.1,0.318295952206295,17441
bowtie2/2.4.2,0.3171215062774641,48286
bedtools_genomecoveragebed/2.29.2,0.3170729414493498,296003
tp_replace_in_line/1.1.2,0.3059696974442201,561787
fasta2tab/1.1.1,0.2999799070916088,14207
snippy/4.5.0,0.2998539982126723,13866
hisat2/2.1.0,0.2993393020325123,72205
lofreq_filter/2.1.3.1,0.2985873049861864,11199
sort1,0.2970753931845689,16351
samtool_filter2/1.8,0.2963024155206388,98867
trimmomatic/0.38.1,0.2909844593970284,53934
vcf2tsv/1.0.0_rc3,0.2810775534551163,115608
tab2fasta/1.1.1,0.2789460693078667,221489
Cut1,0.2770701814535767,1002920
lofreq_call/2.1.3.1,0.271108728137253,19233
rxdock_sort_filter/0.1.5,0.2691776019078576,12314
CONVERTER_fasta_to_tabular,0.2664296583695277,12923
samtools_view/1.9,0.2595794950662817,433494
bowtie2/2.3.4.3,0.258761552549859,97465
bwa_mem/0.7.17.2,0.2496667359029794,84936
rna_star/2.7.5b,0.2489368023067841,13801
minimap2/2.20,0.2486826609937318,12033
ncbi_blastn_wrapper/2.10.1,0.2432450839842279,34685
gmx_trj/2020.2,0.2220783192051785,11882
mothur_taxonomy_to_krona/1.0,0.2193551225847194,10441
blastxml_to_top_descr/0.1.1,0.2162160207515221,244296
gmx_sim/2020.4,0.210578941326558,28773
rna_star/2.7.2b,0.205264823343262,60329
ivar_removereads/1.3.1,0.1932086279043445,317125
Add_a_column1/1.3.0,0.1929366896776299,35066
unicycler/0.4.8.0,0.1779505977290499,14328
sklearn_model_validation/1.0.8.1,0.1779135428576585,10689
rseqc_infer_experiment/2.6.4.1,0.1741562383743813,14933
featurecounts/1.6.4,0.1717014362149671,92617
picard_MarkDuplicates/2.18.2.2,0.1705014993865467,214176
minimap2/2.17,0.1692066904621686,70934
qualimap_bamqc/2.2.2c,0.1565435582225062,13173
snpSift_extractFields/4.3,0.1557974832309113,864746
lofreq_viterbi/2.1.5,0.1520537913257078,578456
deeptools_plot_heatmap/3.3.2.0.1,0.1487331438356599,29624
mothur_dist_seqs/1.39.5.0,0.1457987383896386,18451
featurecounts/2.0.1,0.1419231707240582,118722
addName/0.2.0,0.1358624348033373,25556
stringtie/2.1.7,0.1346873545669895,11147
bwa_mem/0.7.17.1,0.1315767010741781,589319
spades/3.12.0,0.1288276088443299,15871
sdf_to_tab/2020.03.4,0.1286060481804048,459703
bedtools_maskfastabed/2.29.2,0.1251129477495394,51911
kraken2/2.1.1,0.1093049219760294,21071
gops_merge_1/1.0.0,0.1062736825319759,288618
stringtie/2.1.1,0.1058336751202026,35260
bg_diamond/2.0.8.0,0.1041891322089533,30349
deeptools_bam_coverage/3.3.2.0.0,0.0989002568329401,31830
kraken2/2.0.8_beta,0.0947384844937493,13008
gops_concat_1/1.0.1,0.0928335084763185,289724
qualimap_bamqc/2.2.2d,0.0927751058164875,309522
fasta2tab/1.1.0,0.0919531233954276,12497
ip_projective_transformation_points/0.0.4,0.0909620526051048,11838
rbc_mafft/7.221.3,0.0900848597908808,50734
__SET_METADATA__,0.0890719493327309,69946
ip_coordinates_of_roi/0.0.4,0.0782201888916242,13860
deseq2/2.11.40.6,0.07669843283406,18739
openbabel_compound_convert/3.1.1,0.0763357571260533,86424
