tool_id,pearson_correlation,nr_samples
mothur_cluster/1.36.1.0,1.0,6
cshl_awk_tool,1.0,4
humann_strain_profiler/3.0.0,1.0,3
tombo_plot_most_significant,1.0,3
EMBOSS: dan19/5.0.0.1,1.0,3
sklearn_svm_classifier/1.0.0.4,1.0,2
bowtie_color_wrapper/1.1.2,1.0,2
gfastats/1.2.1,1.0,2
rxdock_rbdock/2013.1.1_148c5bd1,1.0,2
search_gui/3.2.13.3,1.0,2
ctb_im_pbf_ev/1.1.3,1.0,2
hicexplorer_hicdetectloops/3.3.1.0,1.0,2
hcluster_sg/0.5.1,1.0,2
hmmer_jackhmmer/3.3.2,1.0,2
ip_threshold/0.0.5,1.0,2
cuffmerge/2.2.1.0,1.0,2
trinity/2.2.0.0,1.0,2
aegean_gaeval/0.16.0,1.0,2
bedtools_multicovtbed/2.27.1,1.0,2
rgcca/3.0.2,1.0,2
vardict_java/1.8.3,1.0,2
hicexplorer_hicpca/3.4.2.0,1.0,2
sansa_annotate/0.0.7,1.0,2
samtools_flagstat/1.0.1,1.0,2
FalseDiscoveryRate/2.5,1.0,2
rdconf/2020.03.4,1.0,2
monocle3_diffExp/0.1.4,1.0,2
nextclade/1.9.0,1.0,2
bcftools_reheader/1.10,1.0,2
snpSift_dbnsfp/4.3.0,1.0,2
EMBOSS: sirna89/5.0.0,1.0,2
bedtools_bamtobed/2.27.0.0,1.0,2
blast2go/0.0.9,1.0,2
crossmap_bed/0.6.1,1.0,2
scater_plot_dist_scatter/1.22.0,1.0,2
XTandemAdapter/2.5,1.0,2
gemini_db_info/0.18.1.0,1.0,2
chira_collapse/1.1.4,1.0,2
dexseq_count/1.20.1,1.0,2
PeptideIndexer/2.5,1.0,2
samtools_bam_to_cram/1.13,1.0,2
bbtools_callvariants/1.0.0,1.0,2
scanpy_read_10x/1.4.30,1.0,2
tp_sort_header_tool/1.0.0,1.0,2
stoceps_glm_group/0.0.2,1.0,2
humann_split_table/3.0.0,1.0,2
deeptools_plot_pca/2.5.1.1.0,1.0,2
MassTraceExtractor/2.6,1.0,2
bamtools/0.0.2,1.0,2
chira_quantify/1.0.3,1.0,2
gops_coverage_1/0.0.1,1.0,2
bbtools_bbduk/1.0.0.0.0,1.0,2
crossmap_wig/0.5.2,1.0,2
macs2_bdgdiff/2.2.7.1,1.0,2
gemini_load/0.18.1.1,1.0,2
openbabel_subsearch/3.1.1,1.0,2
CONVERTER_mol_to_mol2,1.0,2
sarscov2formatter/0.5.3,1.0,2
vcfcheck/0.0.1,1.0,2
CONVERTER_bcf_uncompressed_to_bcf,1.0,2
ncbi_blastp_wrapper/0.1.01,1.0,2
gff_filter_by_feature_count,1.0,2
openbabel_obgrep/3.1.1,1.0,2
hicexplorer_hicquickqc/3.6,1.0,2
seurat_find_markers/3.1.1,1.0,2
hicexplorer_chicdifferentialtest/3.4.2.0,1.0,2
featurecounts/1.6.0.5,1.0,2
hyphy_absrel/2.5.31,1.0,2
RNADigestor/2.5,1.0,2
lastz_wrapper_2/1.3,1.0,2
usher/0.2.1,1.0,2
seurat_run_tsne/3.1.1_0.0.6,1.0,2
scanpy_find_cluster/1.8.1,1.0,2
hyphy_fubar/2.5.31,1.0,2
rbc_mafft_add/7.487,1.0,2
gmx_solvate/2019.1.3,1.0,2
spring_model/0.1,1.0,2
mut2sscs/2.0.0,1.0,2
unicycler/0.4.4.0,1.0,2
snpEff_build_gb/4.3+T.galaxy3,1.0,2
